[16:30:13] 📍 Loaded 754 district venues
[16:30:13] 🚀 DISTRICT SCRAPER STARTED
[16:30:15] ⚠ 22684 → NO DEBUG
[16:30:15] ⚠ 3910 → NO DEBUG
[16:30:15] ⚠ 1037511 → NO DEBUG
[16:30:15] ⚠ 1042453 → NO DEBUG
[16:30:15] ⚠ 1016133 → NO DEBUG
[16:30:15] ⚠ 1041504 → NO DEBUG
[16:30:15] ⚠ 1037526 → NO DEBUG
[16:30:15] ⚠ 1042615 → NO DEBUG
[16:30:15] ⚠ 14702 → NO DEBUG
[16:30:15] ⚠ 4232 → NO DEBUG
[16:30:15] ⚠ 32194 → NO DEBUG
[16:30:15] ⚠ 7534 → NO DEBUG
[16:30:15] ⚠ 1012595 → NO DEBUG
[16:30:15] ⚠ 4028 → NO DEBUG
[16:30:15] ⚠ 6044 → NO DEBUG
[16:30:15] ⚠ 7881 → NO DEBUG
[16:30:15] ⚠ 19528 → NO DEBUG
[16:30:15] ⚠ 1067946 → NO DEBUG
[16:30:15] ⚠ 1037502 → NO DEBUG
[16:30:15] ⚠ 58633 → NO DEBUG
[16:30:15] ⚠ 4008 → NO DEBUG
[16:30:15] ⚠ 14694 → NO DEBUG
[16:30:15] ⚠ 25860 → NO DEBUG
[16:30:15] ⚠ 1091219 → NO DEBUG
[16:30:15] ⚠ 1019166 → NO DEBUG
[16:30:15] ⚠ 43348 → NO DEBUG
[16:30:15] ⚠ 9135 → NO DEBUG
[16:30:15] ⚠ 10250 → NO DEBUG
[16:30:15] ⚠ 1020333 → NO DEBUG
[16:30:15] ⚠ 6057 → NO DEBUG
[16:30:15] ⚠ 1005799 → NO DEBUG
[16:30:15] ⚠ 1050645 → NO DEBUG
[16:30:15] ⚠ 4067 → NO DEBUG
[16:30:15] ⚠ 1037530 → NO DEBUG
[16:30:15] ⚠ 1025291 → NO DEBUG
[16:30:15] ⚠ 1034375 → NO DEBUG
[16:30:15] ⚠ 1005798 → NO DEBUG
[16:30:15] ⚠ 1034383 → NO DEBUG
[16:30:15] ⚠ 4608 → NO DEBUG
[16:30:15] ⚠ 1041725 → NO DEBUG
[16:30:15] ⚠ 1089067 → NO DEBUG
[16:30:15] ⚠ 27150 → NO DEBUG
[16:30:15] ⚠ 1015289 → NO DEBUG
[16:30:15] ⚠ 1058533 → NO DEBUG
[16:30:15] ⚠ 1018798 → NO DEBUG
[16:30:15] ⚠ 1058794 → NO DEBUG
[16:30:15] ⚠ 1023626 → NO DEBUG
[16:30:15] ⚠ 1044095 → NO DEBUG
[16:30:15] ⚠ 1092958 → NO DEBUG
[16:30:15] ⚠ 1033632 → NO DEBUG
[16:30:15] ⚠ 1019593 → NO DEBUG
[16:30:15] ⚠ 1034186 → NO DEBUG
[16:30:15] ⚠ 1039768 → NO DEBUG
[16:30:15] ⚠ 27716 → NO DEBUG
[16:30:15] ⚠ 24929 → NO DEBUG
[16:30:15] ⚠ 44966 → NO DEBUG
[16:30:15] ⚠ 1034254 → NO DEBUG
[16:30:15] ⚠ 1016986 → NO DEBUG
[16:30:15] ⚠ 27715 → NO DEBUG
[16:30:15] ⚠ 496 → NO DEBUG
